类型,名称,路径,大小,完整路径,类数量
class,JXCoverVerticalAnimator,Classes/Businesses/KSong/KSong/UI/ViewController/ShortVideo/JXCoverVerticalAnimator.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/KSong/KSong/UI/ViewController/ShortVideo/JXCoverVerticalAnimator.swift,
class,JXUserConfigVvipItem,Classes/Businesses/UserCenter/Settings/UI/DebugPanel/DebugTools/UserTool/ConfigChannel/UserConfig/JXUserConfigVvipItem.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/Settings/UI/DebugPanel/DebugTools/UserTool/ConfigChannel/UserConfig/JXUserConfigVvipItem.m,
class,KSProductRankSectionCollectionViewCell,Classes/Businesses/KSong/KFeeds/UI/KSProductRankSectionCollectionViewCell.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/KSong/KFeeds/UI/KSProductRankSectionCollectionViewCell.h,
class,BoostChannel,SubProject/.flutter_artifacts/Plugins/flutter_boost/Classes/Boost/BoostChannel.m,0,/Users/wuzhaogang/JOOX_iOS/SubProject/.flutter_artifacts/Plugins/flutter_boost/Classes/Boost/BoostChannel.m,
class,KSFileDirScanInfoModel,Classes/CommonBusinesses/Performance/DiskSpace/KSCleanManager.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/CommonBusinesses/Performance/DiskSpace/KSCleanManager.m,
class,DailyMusicEntry,Widget/Widget/DailyMusicWidget.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Widget/DailyMusicWidget.swift,
class,JXChartsListDefines,Classes/Businesses/Discover/ChartList/JXChartsListDefines.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Discover/ChartList/JXChartsListDefines.h,
class,IBGQATIASDK_System,WeMusicTests/ComponentTest/EntranceJOOXUseTIA/IBGQATIASDK_System.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/ComponentTest/EntranceJOOXUseTIA/IBGQATIASDK_System.m,
class,JXMockPbModel,Classes/Services/JXMock/Utils/JXEncodeData.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/JXMock/Utils/JXEncodeData.h,
class,Singer,Widget/Request/DailyMusicRequest.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Request/DailyMusicRequest.swift,
class,JXTMEWebContainImpl,Classes/UIKit/UIComponents/JXWebView/TMEJSBridge/tme/JXTMEWebContainImpl.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/UIKit/UIComponents/JXWebView/TMEJSBridge/tme/JXTMEWebContainImpl.h,
class,VideoKSAuthView,Classes/Businesses/KSong/KSong/UI/ViewController/VideoKSongVC/Auth/VideoKSAuthView.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/KSong/KSong/UI/ViewController/VideoKSongVC/Auth/VideoKSAuthView.m,
class,JXHttpsMonitor,Classes/Services/Request/Monitor/JXHttpsMonitor.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/Request/Monitor/JXHttpsMonitor.m,
class,JXPlayerViewScrollHandle,Classes/Businesses/Music/Player/UI/JXPlayerViewScrollHandle.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Music/Player/UI/JXPlayerViewScrollHandle.m,
class,MSDKDnsHttpMessageTools,Library/MSDKDns/MSDKDns_C11.framework/Headers/MSDKDnsHttpMessageTools.h,0,/Users/wuzhaogang/JOOX_iOS/Library/MSDKDns/MSDKDns_C11.framework/Headers/MSDKDnsHttpMessageTools.h,
class,JXPlayerArtistDetailCell,Classes/Businesses/Music/Player/UI/PlayerSecondaryScreen/Cells/JXPlayerArtistDetailCell.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Music/Player/UI/PlayerSecondaryScreen/Cells/JXPlayerArtistDetailCell.h,
class,JXBuzzBannerView,Classes/Businesses/Video/VideoPlay/Container/JXBuzzBannerView.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Video/VideoPlay/Container/JXBuzzBannerView.h,
class,IBGQA3000701425PlayerKSongRecomendShow,WeMusicTests/LogReport/IBGQA3000701425PlayerKSongRecomendShow.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/LogReport/IBGQA3000701425PlayerKSongRecomendShow.m,
class,JXVIPRightsModel,Classes/Businesses/UserCenter/VIPCenter/Logic/VIP/Model/JXVIPRightsModel.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/VIPCenter/Logic/VIP/Model/JXVIPRightsModel.m,
class,JXHippyCommentInputViewManager,Classes/Businesses/Music/Player/UI/Comments/CommentInputView/JXHippyCommentInputViewManager.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Music/Player/UI/Comments/CommentInputView/JXHippyCommentInputViewManager.m,
class,Filter,Classes/Services/MediaPicker/Source/WEMediaPickerConfig.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/MediaPicker/Source/WEMediaPickerConfig.swift,
class,SingerTopSongProtocol,Classes/Services/Request/Business/SingerTopSong/SingerTopSongProtocol.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/Request/Business/SingerTopSong/SingerTopSongProtocol.m,
class,LocalizedText,Widget/Manager/Language.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Manager/Language.swift,
class,RIFBaseViewController,Classes/Businesses/RIF/LiveSDKManager/Businesses/VC/RIFBaseViewController+JOOX.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/RIF/LiveSDKManager/Businesses/VC/RIFBaseViewController+JOOX.m,
class,JXUserConfigKvipItem,Classes/Businesses/UserCenter/Settings/UI/DebugPanel/DebugTools/UserTool/ConfigChannel/UserConfig/JXUserConfigKvipItem.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/Settings/UI/DebugPanel/DebugTools/UserTool/ConfigChannel/UserConfig/JXUserConfigKvipItem.h,
class,PChatArtistTableViewCell,Classes/Businesses/UserCenter/PrivateChatMsg/UI/PrivateChatCell/PChatArtistTableViewCell.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/PrivateChatMsg/UI/PrivateChatCell/PChatArtistTableViewCell.m,
class,JXPostCosFileInfoRequest,Classes/Services/Log/LogUpload/Request/JXPostCosFileInfoRequest.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/Log/LogUpload/Request/JXPostCosFileInfoRequest.h,
class,IBGQA3000701436KSongPlaySkipPrelude,WeMusicTests/LogReport/IBGQA3000701436KSongPlaySkipPrelude.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/LogReport/IBGQA3000701436KSongPlaySkipPrelude.m,
class,JXMeOperationCellVModel,Classes/Businesses/UserCenter/Me/ViewModel/JXMeTableCellVModel.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/Me/ViewModel/JXMeTableCellVModel.m,
class,LMJSQFlatUtil,Classes/UIKit/UIComponents/LM/LMJSQFlat/LMJSQFlatUtil.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/UIKit/UIComponents/LM/LMJSQFlat/LMJSQFlatUtil.m,
class,IBGQAKSongPlaylistViewController,WeMusicTests/UnitTestForClass/ViewControllerClass/IBGQAKSongPlaylistViewController.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/UnitTestForClass/ViewControllerClass/IBGQAKSongPlaylistViewController.m,
class,JXMediaPreBottomView,Classes/Services/MediaPicker/Source/View/PreBottom/JXMediaPreBottomView.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/MediaPicker/Source/View/PreBottom/JXMediaPreBottomView.swift,
class,IBGQA3000701258KSongListenProgress,WeMusicTests/LogReport/IBGQA3000701258KSongListenProgress.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/LogReport/IBGQA3000701258KSongListenProgress.m,
class,JXMediaPickerService,Classes/Services/MediaPicker/JXMediaPickerService.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/MediaPicker/JXMediaPickerService.swift,
class,FLBFactory,SubProject/.flutter_artifacts/Plugins/flutter_boost/Classes/Engine/FLBFactory.m,0,/Users/wuzhaogang/JOOX_iOS/SubProject/.flutter_artifacts/Plugins/flutter_boost/Classes/Engine/FLBFactory.m,
class,WEMediaPicker,Classes/Services/MediaPicker/Source/WEMediaPicker.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/MediaPicker/Source/WEMediaPicker.swift,
class,JXDynamicRecommendPolicy,Classes/CommonBusinesses/PlayReport/JXDynamicRecommendPolicy.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/CommonBusinesses/PlayReport/JXDynamicRecommendPolicy.h,
class,BeaconBaseInterface,Library/MSDKDns/BeaconAPI_Base.framework/Headers/BeaconBaseInterface.h,0,/Users/wuzhaogang/JOOX_iOS/Library/MSDKDns/BeaconAPI_Base.framework/Headers/BeaconBaseInterface.h,
class,Song,Widget/Request/DailyMusicRequest.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Request/DailyMusicRequest.swift,
class,Constants,Classes/Services/MediaPicker/Source/View/Cell/WEMediaPreviewCell.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/MediaPicker/Source/View/Cell/WEMediaPreviewCell.swift,
class,WEMediaCellSelectionStyleConfig,Classes/Services/MediaPicker/Source/WEMediaPickerConfig.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/MediaPicker/Source/WEMediaPickerConfig.swift,
class,KSongDetailView,Classes/Businesses/KSong/KSong/UI/ViewController/KSongDetailPageVC/view/KSongDetailView.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/KSong/KSong/UI/ViewController/KSongDetailPageVC/view/KSongDetailView.h,
class,MediaType,Classes/Services/MediaPicker/Source/Model/WEMediaItem.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/MediaPicker/Source/Model/WEMediaItem.swift,
class,JXHippyNetStatusViewManager,Classes/BaseUI/JXHippyNetStatusViewManager.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/BaseUI/JXHippyNetStatusViewManager.m,
class,AGTablelistSubCardTableViewCell,Classes/Businesses/Discover/DiscoverUI/AggregateCell/AGTablelistSubCardTableViewCell.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Discover/DiscoverUI/AggregateCell/AGTablelistSubCardTableViewCell.m,
class,UpdateFBRelationProtocol,Classes/Services/Request/Business/FBRelationChainProtocol/UpdateFBRelationProtocol.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/Request/Business/FBRelationChainProtocol/UpdateFBRelationProtocol.m,
class,IBGQAJXBindPhoneViewController,WeMusicTests/UnitTestForClass/ViewControllerClass/IBGQAJXBindPhoneViewController.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/UnitTestForClass/ViewControllerClass/IBGQAJXBindPhoneViewController.m,
class,Language,Widget/Manager/Language.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Manager/Language.swift,
class,PADMediaTimingFunction,LocalPods/PADShakeCard/PADShakeCard/Classes/Utils/PADMediaTimingFunction.m,0,/Users/wuzhaogang/JOOX_iOS/LocalPods/PADShakeCard/PADShakeCard/Classes/Utils/PADMediaTimingFunction.m,
class,KSongSearchAndHistorySectionView,Classes/Businesses/KSong/KSong/UI/ViewController/KSongDiscoverPageVC/View/KSongSearchAndHistorySectionView.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/KSong/KSong/UI/ViewController/KSongDiscoverPageVC/View/KSongSearchAndHistorySectionView.h,
class,JXVipPointsCell,Classes/Businesses/UserCenter/VIPCenter/newVip/JXVipPointsCell.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/VIPCenter/newVip/JXVipPointsCell.m,
class,Environment,Widget/Manager/Environment.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Manager/Environment.swift,
class,IBGQAJXPhoneCodeVC,WeMusicTests/UnitTestForClass/ViewControllerClass/IBGQAJXPhoneCodeVC.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/UnitTestForClass/ViewControllerClass/IBGQAJXPhoneCodeVC.m,
class,WEMediaType,Classes/Services/MediaPicker/Source/View/WEMediaPickerView.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/MediaPicker/Source/View/WEMediaPickerView.swift,
class,MediumWidgetView_3,Widget/View/MediumWidgetView_3.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/View/MediumWidgetView_3.swift,
class,PChatPlayListTableViewCell,Classes/Businesses/UserCenter/PrivateChatMsg/UI/PrivateChatCell/PChatPlayListTableViewCell.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/PrivateChatMsg/UI/PrivateChatCell/PChatPlayListTableViewCell.m,
class,CommonlyUsedEntry_4,Widget/Widget/CommonlyUsedWidget_4.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Widget/CommonlyUsedWidget_4.swift,
class,JXKuiklyVideoViewHandler,Classes/KuiklyExpand/Classes/Handler/JXKuiklyVideoViewHandler.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/KuiklyExpand/Classes/Handler/JXKuiklyVideoViewHandler.m,
class,IBGQA3000701360artistProfileViewAction,WeMusicTests/LogReport/IBGQA3000701360artistProfileViewAction.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/LogReport/IBGQA3000701360artistProfileViewAction.m,
class,IBGQA_JOOX_Base,WeMusicTests/JOOX_QA_PUBLIC/IBGQA_JOOX_Base.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/JOOX_QA_PUBLIC/IBGQA_JOOX_Base.m,
class,JXProfileEditUserIDViewController,Classes/Businesses/UserCenter/UserInfo/UI/JXProfileEditUserIDViewController.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/UserInfo/UI/JXProfileEditUserIDViewController.m,
class,StatQuickKsongPlayMusicBuilder,Classes/Businesses/KSong/KSong/UI/ViewController/KSongDiscoverPageVC/StatQuickKsongPlayMusicBuilder.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/KSong/KSong/UI/ViewController/KSongDiscoverPageVC/StatQuickKsongPlayMusicBuilder.m,
class,JXMyMusicPlaylistsTableViewCell,Classes/Businesses/Music/MyMusic/UI/MyMusicLibrary/Music/Playlists/View/JXMyMusicPlaylistsTableViewCell.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Music/MyMusic/UI/MyMusicLibrary/Music/Playlists/View/JXMyMusicPlaylistsTableViewCell.m,
class,Crypto,Widget/Util/Crypto.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Util/Crypto.swift,
class,FavouritesWidget,Widget/Widget/FavouritesWidget.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Widget/FavouritesWidget.swift,
class,JXNewVipHeadView,Classes/Businesses/UserCenter/VIPCenter/newVip/JXNewVipHeadView.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/VIPCenter/newVip/JXNewVipHeadView.h,
class,StatTaskCenterPVBuilder,Classes/Businesses/TaskCenter/Report/StatTaskCenterPVBuilder.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/TaskCenter/Report/StatTaskCenterPVBuilder.m,
class,JXPlayerMoreSheet,Classes/Businesses/Music/Player/UI/JXPlayerMoreSheet.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Music/Player/UI/JXPlayerMoreSheet.m,
class,IBGQA3000701404TIAADREPORT,WeMusicTests/LogReport/IBGQA3000701404TIAADREPORT.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/LogReport/IBGQA3000701404TIAADREPORT.m,
class,AGTablelistCollectionViewCell,Classes/Businesses/Discover/DiscoverUI/AggregateCell/AGTablelistCollectionViewCell.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Discover/DiscoverUI/AggregateCell/AGTablelistCollectionViewCell.h,
class,IBGQAJXKSongRecordPreViewVC,WeMusicTests/UnitTestForClass/ViewControllerClass/IBGQAJXKSongRecordPreViewVC.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/UnitTestForClass/ViewControllerClass/IBGQAJXKSongRecordPreViewVC.m,
class,IBGQA3000701009PlaySongProgress,WeMusicTests/LogReport/IBGQA3000701009PlaySongProgress.m,0,/Users/wuzhaogang/JOOX_iOS/WeMusicTests/LogReport/IBGQA3000701009PlaySongProgress.m,
class,WEMediaPickerConfig,Classes/Services/MediaPicker/Source/WEMediaPickerConfig.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/Services/MediaPicker/Source/WEMediaPickerConfig.swift,
class,RecentlyPlayedEntry,Widget/Widget/RecentlyPlayedWidget.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Widget/RecentlyPlayedWidget.swift,
class,LMEmitterLine,Classes/Businesses/LiveVideo/JXLive/EmitterLine/LMEmitterLine.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/LiveVideo/JXLive/EmitterLine/LMEmitterLine.h,
class,MusicListCategoryGroup,Classes/Models/Channel/MusicListCategory.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/Models/Channel/MusicListCategory.h,
class,MediumChannelCell_4_1,Widget/View/MediumWidgetView_4_1.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/View/MediumWidgetView_4_1.swift,
class,JXWidgetBundle,Widget/WidgetBundle.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/WidgetBundle.swift,
class,PADShakeCardView,LocalPods/PADShakeCard/PADShakeCard/Classes/PADShakeCard/PADShakeCardView.h,0,/Users/wuzhaogang/JOOX_iOS/LocalPods/PADShakeCard/PADShakeCard/Classes/PADShakeCard/PADShakeCardView.h,
class,KworkModel,Widget/Model/KworkModel.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Model/KworkModel.swift,
class,StatOnTheWayClickBuilder,Classes/CommonBusinesses/Report/Bussiness/StatOnTheWayClickBuilder.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/CommonBusinesses/Report/Bussiness/StatOnTheWayClickBuilder.h,
class,JXExplorePlayControlPlugin,Classes/Businesses/Explore/ViewController/Plugin/Control/JXExplorePlayControlPlugin.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Explore/ViewController/Plugin/Control/JXExplorePlayControlPlugin.m,
class,JXMyMusicAlbumTableViewCell,Classes/Businesses/Music/MyMusic/UI/MyMusicLibrary/Music/Albums/View/JXMyMusicAlbumTableViewCell.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/Music/MyMusic/UI/MyMusicLibrary/Music/Albums/View/JXMyMusicAlbumTableViewCell.m,
class,CommonlyUsedWidgetEntryView_3,Widget/Widget/CommonlyUsedWidget_3.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Widget/CommonlyUsedWidget_3.swift,
class,RecentlyPlayedWidget,Widget/Widget/RecentlyPlayedWidget.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Widget/RecentlyPlayedWidget.swift,
class,TimeoutError,Classes/CommonBusinesses/Premium/IAP/Base/Logic/JXStoreKitWrapper.swift,0,/Users/wuzhaogang/JOOX_iOS/Classes/CommonBusinesses/Premium/IAP/Base/Logic/JXStoreKitWrapper.swift,
class,CommonlyUsedWidget_4,Widget/Widget/CommonlyUsedWidget_4.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Widget/CommonlyUsedWidget_4.swift,
class,JXRecommendLyricView,Classes/Businesses/KSong/KSong/UI/ViewController/MergeProducer/JXRecommendLyricView.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/KSong/KSong/UI/ViewController/MergeProducer/JXRecommendLyricView.m,
class,TMELocalAudioDataProviderForJoox,Classes/CommonBusinesses/Player/TMEAudioPlayerForJoox/ForJoox/TMELocalAudioDataProviderForJoox.h,0,/Users/wuzhaogang/JOOX_iOS/Classes/CommonBusinesses/Player/TMEAudioPlayerForJoox/ForJoox/TMELocalAudioDataProviderForJoox.h,
class,PChatLiveTableViewCell,Classes/Businesses/UserCenter/PrivateChatMsg/UI/PrivateChatCell/PChatLiveTableViewCell.m,0,/Users/wuzhaogang/JOOX_iOS/Classes/Businesses/UserCenter/PrivateChatMsg/UI/PrivateChatCell/PChatLiveTableViewCell.m,
class,DailyMusicProvider,Widget/Widget/DailyMusicWidget.swift,0,/Users/wuzhaogang/JOOX_iOS/Widget/Widget/DailyMusicWidget.swift,
